% Model,MDOF_EigenFrequency_todo.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 7 2022, 15:59"
% Table,Floors' displacements at midsurface (on corners) - 
% Eigenfrequency (Hz),"abs(umx) (m), Point: 2","abs(umx) (m), Point: 3","abs(umx) (m), Point: 4","abs(umx) (m), Point: 6","abs(umx) (m), Point: 7","abs(umx) (m), Point: 8","abs(umx) (m), Point: 10","abs(umx) (m), Point: 11","abs(umx) (m), Point: 12","abs(umx) (m), Point: 14","abs(umx) (m), Point: 15","abs(umx) (m), Point: 16",Eigenfrequency (Hz),"abs(umy) (m), Point: 2","abs(umy) (m), Point: 3","abs(umy) (m), Point: 4","abs(umy) (m), Point: 6","abs(umy) (m), Point: 7","abs(umy) (m), Point: 8","abs(umy) (m), Point: 10","abs(umy) (m), Point: 11","abs(umy) (m), Point: 12","abs(umy) (m), Point: 14","abs(umy) (m), Point: 15","abs(umy) (m), Point: 16",Eigenfrequency (Hz),"abs(umz) (m), Point: 2","abs(umz) (m), Point: 3","abs(umz) (m), Point: 4","abs(umz) (m), Point: 6","abs(umz) (m), Point: 7","abs(umz) (m), Point: 8","abs(umz) (m), Point: 10","abs(umz) (m), Point: 11","abs(umz) (m), Point: 12","abs(umz) (m), Point: 14","abs(umz) (m), Point: 15","abs(umz) (m), Point: 16"
3.041638509207034,4.949677827742817E-6,9.031078433139973E-6,1.1399043948004428E-5,4.949643103582512E-6,9.031015136344628E-6,1.1398964130826855E-5,4.949677827742814E-6,9.031078433139973E-6,1.139904394800443E-5,4.949643103582508E-6,9.031015136344623E-6,1.1398964130826861E-5,3.041638509207034,0,0,0,0,0,0,0,0,0,0,0,0,3.041638509207034,1.0272839223293182E-7,1.5253213112956788E-7,1.656282221660179E-7,1.0272839218864194E-7,1.5253213105175464E-7,1.6562822207047197E-7,-1.0272839332849988E-7,-1.5253213305367797E-7,-1.6562822452138583E-7,-1.0272839337278971E-7,-1.5253213313149113E-7,-1.6562822461693163E-7
8.563068508486284,1.1392423994617831E-5,5.135181397721306E-6,-9.149338071827411E-6,1.1391790427003718E-5,5.1348960855335976E-6,-9.148830217091636E-6,1.1392423994617824E-5,5.135181397721306E-6,-9.149338071827416E-6,1.1391790427003711E-5,5.134896085533593E-6,-9.148830217091637E-6,8.563068508486284,0,0,0,0,0,0,0,0,0,0,0,0,8.563068508486284,-1.7286672826318222E-7,-3.782397634051384E-7,-4.630865761688102E-7,-1.7286672137087886E-7,-3.7823975076876766E-7,-4.630865603224712E-7,1.728669097923735E-7,3.7824009510182596E-7,4.6308699048849495E-7,1.728669166846768E-7,3.7824010773819625E-7,4.630870063348334E-7
12.514199289522141,9.176499903821719E-6,-1.1383821904646472E-5,5.110405661969482E-6,9.175409692635343E-6,-1.1382470738357583E-5,5.1097996772382155E-6,9.176499903821712E-6,-1.1383821904646472E-5,5.110405661969483E-6,9.175409692635336E-6,-1.1382470738357574E-5,5.109799677238218E-6,12.514199289522141,0,0,0,0,0,0,0,0,0,0,0,0,12.514199289522141,6.342939023014673E-9,8.157251622226777E-8,1.8161043298296943E-7,6.342930321471098E-9,8.157249900097819E-8,1.8161040982230292E-7,-6.343193527150085E-9,-8.157301153880003E-8,-1.8161108951743083E-7,-6.3432022286936556E-9,-8.157302876008951E-8,-1.8161111267809713E-7
29.003537041133654,-2.291083455547066E-11,-1.8713863178323034E-11,5.050993333220882E-11,-2.2896128389658434E-11,-1.8701869178434358E-11,5.047757669702944E-11,-2.2910834555470646E-11,-1.8713863178323034E-11,5.0509933332208835E-11,-2.2896128389658414E-11,-1.8701869178434345E-11,5.0477576697029455E-11,29.003537041133654,0,0,0,0,0,0,0,0,0,0,0,0,29.003537041133654,3.543040600239477E-6,6.379262956934076E-6,7.942854590573764E-6,3.5431191492563858E-6,6.379404649273353E-6,7.943031674896955E-6,3.5437146557219367E-6,6.380478326820445E-6,7.944373516538634E-6,3.5437932047388463E-6,6.38062001915972E-6,7.944550600861827E-6
51.445250497205606,4.2877325593304245E-9,3.1049824354231434E-9,-8.395002641234152E-9,4.278949673913052E-9,3.0986320176646474E-9,-8.377843169374614E-9,4.287732559330421E-9,3.1049824354231434E-9,-8.395002641234155E-9,4.278949673913049E-9,3.0986320176646458E-9,-8.377843169374619E-9,51.445250497205606,0,0,0,0,0,0,0,0,0,0,0,0,51.445250497205606,5.07870305549954E-6,9.148213184999706E-6,1.14E-5,-4.687143914374982E-6,-8.443005614408932E-6,-1.0521213026667991E-5,4.68769954479932E-6,8.443998009338039E-6,1.0522437194083421E-5,-5.078147425075205E-6,-9.147220790070562E-6,-1.139877583258457E-5
51.46245168439643,1.0699977344061701E-7,7.748127773031972E-8,-2.094735188445564E-7,1.0678044808265541E-7,7.732270212438711E-8,-2.0904506050170154E-7,1.0699977344061693E-7,7.748127773031972E-8,-2.0947351884455647E-7,1.0678044808265533E-7,7.732270212438707E-8,-2.0904506050170162E-7,51.46245168439643,0,0,0,0,0,0,0,0,0,0,0,0,51.46245168439643,4.687678557341055E-6,8.442633659404243E-6,1.0520779762274465E-5,5.079370939930604E-6,9.14818790777688E-6,1.1399999999999998E-5,-5.075857435450814E-6,-9.141912183679976E-6,-1.1392258554620128E-5,-4.68416505286126E-6,-8.436357935307335E-6,-1.0513038316894583E-5
54.848250593762415,-4.7380632844069164E-12,1.496114070774553E-11,-1.184165212937159E-13,-4.727012350110146E-12,1.492625011886553E-11,-1.1815077912067073E-13,-4.738063284406912E-12,1.496114070774553E-11,-1.1841652129371592E-13,-4.727012350110144E-12,1.4926250118865522E-11,-1.1815077912067078E-13,54.848250593762415,0,0,0,0,0,0,0,0,0,0,0,0,54.848250593762415,1.8567865673912287E-6,8.201620905689628E-7,-1.4945821468431956E-6,1.8569768191073858E-6,8.202572465276213E-7,-1.4947106965143344E-6,1.8584020634299605E-6,8.209696670651573E-7,-1.4956746733433868E-6,1.8585923151461181E-6,8.210648230238154E-7,-1.4958032230145259E-6
59.18111945723882,4.2188087527949495E-12,1.5015356761140423E-12,-3.0941883220309047E-12,4.207295952502851E-12,1.4974415193574906E-12,-3.085762487695376E-12,4.218808752794947E-12,1.5015356761140423E-12,-3.094188322030905E-12,4.207295952502848E-12,1.4974415193574896E-12,-3.085762487695377E-12,59.18111945723882,0,0,0,0,0,0,0,0,0,0,0,0,59.18111945723882,6.96757520251277E-7,-8.696515036227769E-7,3.887399071498231E-7,6.968389954582243E-7,-8.697566108492783E-7,3.8878373578669886E-7,6.974462465491075E-7,-8.705412497244648E-7,3.8910972387584194E-7,6.975277217560548E-7,-8.706463569509656E-7,3.8915355251271776E-7
90.99134311866565,-2.2221696999497374E-11,-1.5312563398543774E-11,3.0751093384579384E-11,-2.207266360907323E-11,-1.5210020172874926E-11,3.054540954762963E-11,-2.222169699949736E-11,-1.5312563398543774E-11,3.075109338457939E-11,-2.207266360907321E-11,-1.5210020172874916E-11,3.0545409547629645E-11,90.99134311866565,0,0,0,0,0,0,0,0,0,0,0,0,90.99134311866565,2.046617637289263E-6,3.659315696696856E-6,4.496188758037696E-6,2.0472974590560305E-6,3.660537145009043E-6,4.4976997846970634E-6,2.051947438978987E-6,3.6688910687103624E-6,4.50803426635896E-6,2.0526272607457543E-6,3.670112517022548E-6,4.50954529301833E-6
106.52986608310214,4.226049852398089E-9,-1.6985425991921175E-8,-3.256257649906515E-9,4.186305798613974E-9,-1.682547065733405E-8,-3.225506185150534E-9,4.2260498523980845E-9,-1.6985425991921175E-8,-3.2562576499065155E-9,4.1863057986139705E-9,-1.682547065733404E-8,-3.2255061851505355E-9,106.52986608310214,0,0,0,0,0,0,0,0,0,0,0,0,106.52986608310214,5.850245771666915E-6,2.5445339495436628E-6,-4.743520654721709E-6,-8.737208885279573E-7,-3.800451964558884E-7,7.084044016097224E-7,8.787086347603039E-7,3.821959129021173E-7,-7.124814484330523E-7,-5.84525802543457E-6,-2.5423832330974262E-6,4.739443607898376E-6
